,_tid_,elderly,adults,adolescents,children,female,male,healthy_volunteers,eudract_number,protocol_country_code
1750,1750,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2013-002371-17,es
1751,1751,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2015-000140-42,ie
1752,1752,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2012-005542-38,gb
1753,1753,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2011-002008-33,pl
1754,1754,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2015-001942-28,lv
1755,1755,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2012-003686-17,es
1756,1756,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2010-022378-15,hu
1757,1757,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2010-020198-18,nl
1758,1758,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2011-001985-16,hu
1759,1759,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2013-003589-15,it
1760,1760,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2008-001002-16,ee
1761,1761,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2007-004992-21,es
1762,1762,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2013-003789-15,se
1763,1763,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2015-003239-36,ee
1764,1764,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2013-002518-11,lv
1765,1765,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2007-004884-24,de
1766,1766,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2005-005367-28,pt
1767,1767,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2014-005572-28,fr
1768,1768,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2014-003106-33,gb
1769,1769,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2013-000577-77,es
1770,1770,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2017-001142-10,hu
1771,1771,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2012-002791-14,pl
1772,1772,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2012-001258-25,de
1773,1773,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2007-006169-33,hu
1774,1774,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2005-001315-22,at
1775,1775,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2014-002474-36,se
1776,1776,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2009-009320-36,bg
1777,1777,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2010-021814-43,fi
1778,1778,1.0,1.0,_nan_,_nan_,1.0,1.0,0.0,2009-010428-25,nl
1779,1779,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2011-002796-41,se
1780,1780,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2016-002763-34,at
1781,1781,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2016-004965-22,pl
