"feature","chi2_score_soy","p_values_soy","sample_count_soy","correlation_to_soy"
"44",30.346533377253778,2.572373368216635e-07,15,0.12939983822057058
"pistazie",28.750677506775013,5.713072086108937e-07,7,0.0914204538287211
"hefe",28.644142870605926,6.02564312040032e-07,29,0.26139051647448497
"macis",28.10598584993476,7.886107964302017e-07,4,0.12939983822057063
"anderen",28.10598584993476,7.886107964302017e-07,4,0.33936376777918803
"weizenkleie",27.925699745547035,8.630010986769073e-07,5,0.09142045382872102
"wasser",27.19636860787181,1.242749488031501e-06,103,0.09142045382872106
"vitamine",26.757613639386022,1.5475975152172866e-06,5,0.276849555642832
"heidelbeeren",26.757613639386022,1.5475975152172866e-06,7,0.09142045382872109
"glukose",26.29268292682922,1.9526142086146694e-06,17,0.09142045382872106
"sirup",26.29268292682922,1.9526142086146694e-06,28,0.18331643747914184
"roggen",26.29268292682922,1.9526142086146694e-06,14,0.08679350859932276
