"feature","chi2_score_peanut","p_values_peanut","sample_count_peanut","correlation_to_peanut"
"egruge",14.608695652173838,0.0006726080258952642,2,0.20850555085637568
"palmol",14.608695652173838,0.0006726080258952642,13,0.0782719974084611
"pinienkerne",14.608695652173838,0.0006726080258952642,2,0.07718454121255533
"natriumbicarbonat",14.608695652173838,0.0006726080258952642,2,0.1713766775998425
"51o",14.608695652173838,0.0006726080258952642,2,0.15398401279169036
"abri",14.608695652173838,0.0006726080258952642,5,0.12136117653412298
"natriumhy",14.608695652173838,0.0006726080258952642,29,0.07827199740846104
"das",14.608695652173838,0.0006726080258952642,2,0.08369560153528044
"trennmittel",14.608695652173838,0.0006726080258952642,2,0.0782719974084611
"dès",14.608695652173838,0.0006726080258952642,2,0.0782719974084611
"nit",14.608695652173838,0.0006726080258952642,29,0.1107763299147585
"utre",14.608695652173838,0.0006726080258952642,40,0.10458696710963965
"entants",14.608695652173838,0.0006726080258952642,2,0.1713766775998425
"petits",14.608695652173838,0.0006726080258952642,2,0.0782719974084611
"dennennaalden",14.608695652173838,0.0006726080258952642,2,0.07827199740846096
"deutschland",14.608695652173838,0.0006726080258952642,2,0.0782719974084611
"nusse",14.608695652173838,0.0006726080258952642,7,0.07827199740846102
"nückverfolgbaren",14.608695652173838,0.0006726080258952642,2,0.07827199740846104
"diesem",14.608695652173838,0.0006726080258952642,2,0.09589915141336566
"drogencarbonat",14.608695652173838,0.0006726080258952642,28,0.07827199740846102
"toque",14.608695652173838,0.0006726080258952642,2,0.15505997607843566
"croustillants",14.608695652173838,0.0006726080258952642,2,0.0782719974084611
"tel",14.608695652173838,0.0006726080258952642,208,0.07827199740846104
"stein",14.608695652173838,0.0006726080258952642,19,0.14447426616637585
"quot",14.608695652173838,0.0006726080258952642,2,0.11630743819236626
"quellen",14.608695652173838,0.0006726080258952642,2,0.07827199740846102
"ver",14.608695652173838,0.0006726080258952642,299,0.2083513537909365
"produkt",14.608695652173838,0.0006726080258952642,3,0.07827199740846093
