"feature","chi2_score_gluten","p_values_gluten","sample_count_gluten","correlation_to_gluten"
"weizenstärke",56.57831325301193,5.178158972670255e-13,8,0.1405317224645704
"ist",56.57831325301193,5.178158972670255e-13,22,0.11564097738540363
"1050",56.57831325301193,5.178158972670255e-13,8,0.14053172246457038
"carottes",56.57831325301193,5.178158972670255e-13,2,0.1405317224645704
"roggenvollkornmehl",56.57831325301193,5.178158972670255e-13,8,0.14053172246457038
"eine",56.57831325301193,5.178158972670255e-13,49,0.1405317224645704
"mandel",54.183760449842296,1.7145332583419828e-12,44,0.0415960764104445
"speltmeel",49.506024096385445,1.7778841451165453e-11,7,0.172244480152119
"¹dinkel",49.506024096385445,1.7778841451165453e-11,7,0.38866244846465464
"hartweizengrieß",49.506024096385445,1.7778841451165453e-11,7,0.16571472528444392
"natron",48.87185491080919,2.4412460069022914e-11,9,0.16571472528444392
"glukosesirup",46.896289220486025,6.555414914975025e-11,15,0.14053172246457038
"magermilchpulver",44.27768215720013,2.427859127018436e-10,5,0.1990400553693527
"ungehärtet",42.43373493975896,6.104239074426882e-10,9,0.3414470204632709
"hafervollkornflocken",42.43373493975896,6.104239074426882e-10,6,0.1405317224645704
"roggenmehl",42.43373493975896,6.104239074426882e-10,4,0.18456933502039877
"invertzuckersirup",42.08171133127483,7.27901291417247e-10,8,0.33181899072978766
"volkoren",41.46049677277229,9.930417719173219e-10,16,0.3757504058361021
"59",36.79594568751188,1.0229676872414844e-08,6,0.28233427331588484
"e500ii",35.4752390007615,1.9799295110077932e-08,7,0.14053172246457038
"käse",35.36144578313247,2.0958471776752112e-08,5,0.19158798936483754
"812",35.36144578313247,2.0958471776752112e-08,5,0.31751883955284615
"marzipan",35.36144578313247,2.0958471776752112e-08,7,0.007693343508843201
"weizenkleie",35.36144578313247,2.0958471776752112e-08,5,0.14053172246457035
"apfelfaser",35.36144578313247,2.0958471776752112e-08,5,0.05886975017379662
"gerstenmalzextrakt",35.36144578313247,2.0958471776752112e-08,5,0.14053172246457038
"dinkelschrot",35.36144578313247,2.0958471776752112e-08,3,0.1405317224645704
"dinkelquellmehl",35.36144578313247,2.0958471776752112e-08,3,0.1405317224645704
"48",35.36144578313247,2.0958471776752112e-08,5,0.19904005536935268
"64",34.68373646022749,2.9411848602081064e-08,7,0.0710850269789309
"milch",33.25534193950526,6.007506521572824e-08,63,0.09929663789077127
"weiproduct",30.90476190476188,1.945880742681592e-07,1,0.09929663789077132
"koffie",30.90476190476188,1.945880742681592e-07,2,0.1405317224645704
"cappuccino",30.90476190476188,1.945880742681592e-07,1,0.09929663789077127
"dennennaalden",30.90476190476188,1.945880742681592e-07,1,0.1405317224645704
"cashew",30.90476190476188,1.945880742681592e-07,7,0.2227008026275822
"sojapitten",30.90476190476188,1.945880742681592e-07,1,0.1405317224645704
"room",30.90476190476188,1.945880742681592e-07,1,0.05498270269164099
"pompoenpitten",30.90476190476188,1.945880742681592e-07,1,0.1405317224645704
"macis",30.218770589678208,2.742062449703816e-07,4,0.22825403210812908
"cacaoboter",30.218770589678208,2.742062449703816e-07,3,0.6091674774758565
"zartbitterschokolade",29.851345672587154,3.29505485136689e-07,7,0.14053172246457038
"melkpoeder",29.851345672587154,3.29505485136689e-07,6,0.14053172246457038
"alkohol",29.088507487800744,4.825150408532545e-07,4,0.09929663789077127
"58",29.088507487800744,4.825150408532545e-07,4,0.14053172246457038
"vitamin",29.016934276928207,5.000953091127307e-07,16,0.09929663789077127
"orangenschalen",28.917173996338626,5.256727331484655e-07,5,0.08337931200641564
"tomates",28.917173996338626,5.256727331484655e-07,4,0.172244480152119
"reismehl",28.90819106815942,5.280390835631604e-07,26,0.1405317224645704
"havervlokken",28.289156626505964,7.195942587785333e-07,4,0.24414013942283208
"weizenart",28.289156626505964,7.195942587785333e-07,8,0.263900284581603
"dinkelvollkornflocken",28.289156626505964,7.195942587785333e-07,4,0.17224448015211904
"weinsäure",28.289156626505964,7.195942587785333e-07,2,0.19904005536935274
"pastinaken",28.289156626505964,7.195942587785333e-07,5,0.3111980010437121
"blé",28.289156626505964,7.195942587785333e-07,2,0.04482806221798751
"poivron",28.289156626505964,7.195942587785333e-07,2,0.19904005536935268
"flour",28.289156626505964,7.195942587785333e-07,2,0.054982702691641
"füllung",28.289156626505964,7.195942587785333e-07,6,-0.019717397191513535
"teig",28.289156626505964,7.195942587785333e-07,6,0.1405317224645704
"herbes",28.289156626505964,7.195942587785333e-07,4,0.17224448015211904
"weizeneiweiß",28.289156626505964,7.195942587785333e-07,2,0.2983228680756456
"speltvlokken",28.289156626505964,7.195942587785333e-07,4,0.14053172246457038
"hühnereieiweißpulver",28.289156626505964,7.195942587785333e-07,2,0.1405317224645704
"panais",28.289156626505964,7.195942587785333e-07,2,0.0992966378907713
"94",28.289156626505964,7.195942587785333e-07,4,0.17320610064863526
"550",28.289156626505964,7.195942587785333e-07,4,0.28233427331588484
"39",28.129028762985,7.795769926443662e-07,9,0.08337931200641564
"sojalecithin",26.680190727574512,1.6086819742360568e-06,11,0.23173148194219104
"emulgator",26.680190727574512,1.6086819742360568e-06,11,0.2553178935014122
"60",25.321244087911392,3.1736695781045397e-06,16,0.1477569007606304
"b1",23.65215632849408,7.311382597609332e-06,16,0.1405317224645704
"30",23.529873152377252,7.772361019808921e-06,14,0.30553050903113516
"nelken",23.08526382156588,9.70730453716125e-06,5,0.058869750173796635
"100g",23.08526382156588,9.70730453716125e-06,5,0.1170714745378547
"apfelmark",22.50603017825966,1.2968138556053256e-05,7,0.1405317224645704
"52",21.440531096284804,2.2092650790925874e-05,6,0.1405317224645704
"zuckerglasur",21.21686746987948,2.470675833537638e-05,3,0.04159607641044451
"vollei",21.21686746987948,2.470675833537638e-05,3,0.14053172246457038
"natriumwaterstofcarbonaat",21.21686746987948,2.470675833537638e-05,3,0.22270080262758224
"backmittel",21.21686746987948,2.470675833537638e-05,3,0.14053172246457038
"backoblaten",21.21686746987948,2.470675833537638e-05,3,0.1405317224645704
"butter",21.21686746987948,2.470675833537638e-05,29,0.17224448015211902
"haselnuss",21.21686746987948,2.470675833537638e-05,3,0.1405317224645704
"ammoniumhydrogencarbonat",21.21686746987948,2.470675833537638e-05,3,0.08337931200641568
