"feature","chi2_score_healthy_volunteers","p_values_healthy_volunteers","sample_count_healthy_volunteers","correlation_to_healthy_volunteers"
"menopause",20.031319053325067,7.618412731822021e-06,318,0.05059323877566506
"yearts",20.009908250440365,7.704192645819245e-06,1,0.05059323877566506
"troms",20.009908250440365,7.704192645819245e-06,2,0.06159786074836601
"gonorrhea",19.96035576038392,7.90645640122377e-06,3,0.07153194445388879
"condomless",19.96035576038392,7.90645640122377e-06,3,0.08396623128302823
"tgw",19.96035576038392,7.90645640122377e-06,3,0.05059323877566506
"dtap",19.83132043113062,8.458527097004193e-06,3,0.07710139090779601
"immunisation",19.41953619042726,1.0492820232163888e-05,9,0.07620063112987974
"subject",18.87518178090442,1.3955654695222614e-05,6024,0.23722203565506295
"groups",18.740603150995636,1.4975949048146265e-05,98,0.07969028406036041
"vacunacion",18.395688472045098,1.7946359916545356e-05,1,0.04694865575489125
"vaccinations",17.950345421104604,2.2674326681965537e-05,21,0.10562894875310631
"menarche",17.601576200664798,2.723625110547523e-05,240,0.0987402066827389
"finnish",17.549087931310364,2.799850505862391e-05,4,0.0881147403535024
"scheduled",17.535470762744485,2.8199737154556413e-05,1223,0.05059323877566505
"conjugate",17.457372527774254,2.9382255798502566e-05,63,0.08776604089764543
"cyclicity",17.299796263830636,3.192210761519165e-05,2,0.10049629936371224
"papilloma",17.287984539676998,3.212115530211504e-05,19,0.06561783385622261
"attainment",17.23587266534823,3.301432866887053e-05,9,0.05059323877566506
"malaria",17.125843483925767,3.498303661071285e-05,51,0.05059323877566506
"cogstate",17.114978553297995,3.51837288207011e-05,3,0.0876363782634352
"padres",17.087459784530733,3.569723636743696e-05,48,0.17506047746779524
"ibl",16.76350629764193,4.233980355003654e-05,4071,0.10794142614910993
"generelly",16.59126141499221,4.636415860780991e-05,2,0.057774835921608314
"vaccinating",16.59126141499221,4.636415860780991e-05,2,0.20765683859125428
"reservations",16.59126141499221,4.636415860780991e-05,2,0.05059323877566505
"competence",16.53041185241606,4.787599697822078e-05,7,0.058788417806519465
"individual",16.343905965835347,5.2825752721895356e-05,254,0.07153655242452357
"vaccinated",16.28205002236404,5.4578528404095915e-05,11,0.19217666802650876
"gesunde",16.245190625022712,5.56506804360317e-05,3,0.10090359202018052
"debilitating",15.875543912137461,6.764724313394367e-05,3,0.05059323877566505
"intraindividual",15.774136150343258,7.137153925732573e-05,3,0.07466024709299829
"subjects",15.745709071203487,7.245209136652919e-05,4704,0.11300097356154332
"legal",15.72162913499164,7.338026781499919e-05,2390,0.050593238775665066
"vacuna",15.721589292699338,7.338181343176683e-05,44,0.05059323877566506
"obstetrical",15.675277941183436,7.520071363004941e-05,4,0.08763637826343522
