"feature","chi2_score_nuts","p_values_nuts","sample_count_nuts","correlation_to_nuts"
"pepper",20.235294117647054,4.036098090744923e-05,2,0.08610887593639943
"dans",20.235294117647054,4.036098090744923e-05,2,0.19403047773997661
"barley",20.235294117647054,4.036098090744923e-05,2,0.1583411987413664
"bananenvlokken",20.235294117647054,4.036098090744923e-05,2,0.084234751206291
"syrup",20.235294117647054,4.036098090744923e-05,2,0.09435760248201967
"un",20.235294117647054,4.036098090744923e-05,233,0.21213016693129158
"schalenfruchte",20.235294117647054,4.036098090744923e-05,2,0.4285268158433163
"offnen",20.235294117647054,4.036098090744923e-05,2,0.15834119874136632
"complete",20.235294117647054,4.036098090744923e-05,2,0.11190481661984687
"frais",20.235294117647054,4.036098090744923e-05,2,0.10991052790194725
"yeast",20.235294117647054,4.036098090744923e-05,2,0.1618244481441962
"nussen",20.235294117647054,4.036098090744923e-05,2,0.15834119874136648
"complète",20.235294117647054,4.036098090744923e-05,2,0.0702703142148265
"black",20.235294117647054,4.036098090744923e-05,2,0.0702703142148265
"toumesol",20.235294117647054,4.036098090744923e-05,2,0.07027031421482645
"endroit",20.235294117647054,4.036098090744923e-05,2,0.1119048166198468
"kornschrot",20.235294117647054,4.036098090744923e-05,8,0.15834119874136632
"hirschhornsalz",20.235294117647054,4.036098090744923e-05,2,0.11190481661984678
"paranuss",20.235294117647054,4.036098090744923e-05,2,0.08610887593639942
"conserver",20.235294117647054,4.036098090744923e-05,2,0.0702703142148265
"unhydriertes",20.235294117647054,4.036098090744923e-05,2,0.09435760248201967
"turmeric",20.235294117647054,4.036098090744923e-05,2,0.25219173572296194
"sé",20.235294117647054,4.036098090744923e-05,20,0.07027031421482645
"coque",20.235294117647054,4.036098090744923e-05,2,0.33694508342121743
"coriander",20.235294117647054,4.036098090744923e-05,2,0.07027031421482645
"loo",20.235294117647054,4.036098090744923e-05,13,0.1583411987413663
"weizenmehl",19.924965651547957,4.713556125591527e-05,29,0.07027031421482645
"vanille",19.884459709717966,4.809992910034326e-05,51,0.20983389078979606
"de",19.684500560789626,5.3157557020525536e-05,358,0.19758274498023642
"cacaoboter",18.81200318522585,8.222907626367389e-05,4,0.07027031421482656
"dinkelvollkornflocken",18.549678007876075,9.375373968480941e-05,11,0.07027031421482645
"säuerungsmittel",18.392469333949506,0.00010142056598832821,5,0.07027031421482645
"palmolie",18.151941873754517,0.00011438153071201275,7,0.05449622264866499
"dinkelvollkornmehl",18.13776514323205,0.00011519518912801639,21,0.09649274810080688
"ceylon",18.01893806551173,0.00012224674780859105,12,0.3042297902671528
"90",16.830188679245303,0.00022149858879619527,1,0.25954668818846427
"maismalz",16.830188679245303,0.00022149858879619527,1,0.1583411987413664
"cashewnoten",16.830188679245303,0.00022149858879619527,1,0.37185466094125413
"geschrotet",16.830188679245303,0.00022149858879619527,1,0.15834119874136632
"bourbonvanille",16.830188679245303,0.00022149858879619527,16,0.07027031421482645
"boubon",16.830188679245303,0.00022149858879619527,1,0.16707401153874096
"maissirup",16.830188679245303,0.00022149858879619527,1,0.07027031421482656
"gehakt",16.830188679245303,0.00022149858879619527,1,0.13917914565462253
"braun",16.830188679245303,0.00022149858879619527,1,0.0702703142148265
"gehakte",16.830188679245303,0.00022149858879619527,1,0.15834119874136637
"olied",16.830188679245303,0.00022149858879619527,4,0.25075860919109605
