"feature","chi2_score_nuts","p_values_nuts","sample_count_nuts","correlation_to_nuts"
"ttocken",14.924050632911335,0.0005744914654176668,2,0.08365002487113851
"trennmittel",14.924050632911335,0.0005744914654176668,2,0.04455323490200794
"tartique",14.924050632911335,0.0005744914654176668,2,0.03861940250865562
"söureregulator",14.924050632911335,0.0005744914654176668,2,0.25724277047093363
"str",14.924050632911335,0.0005744914654176668,20,0.2343153205714531
"stammt",14.924050632911335,0.0005744914654176668,2,0.08365002487113848
"spéculoos",14.924050632911335,0.0005744914654176668,2,0.08365002487113851
"son",14.924050632911335,0.0005744914654176668,215,0.21948670004078707
"natriumhydrogencarbonate",14.924050632911335,0.0005744914654176668,2,0.08365002487113854
"weizenvollkormehl",14.924050632911335,0.0005744914654176668,2,0.1320000906697866
"nachhaltigem",14.924050632911335,0.0005744914654176668,2,0.10688291255599422
"mitch",14.924050632911335,0.0005744914654176668,2,0.08365002487113846
"mianuss",14.924050632911335,0.0005744914654176668,15,0.11695172179023394
"пипол",14.924050632911335,0.0005744914654176668,2,0.09814113572754007
"ноогледово",14.924050632911335,0.0005744914654176668,2,0.12778139319744092
"чушки",14.924050632911335,0.0005744914654176668,2,0.08365002487113839
"сты",14.924050632911335,0.0005744914654176668,2,0.13241116272499429
"mandelzubereitung",14.924050632911335,0.0005744914654176668,2,0.08365002487113848
"man",14.924050632911335,0.0005744914654176668,262,0.1645444448862258
"объпки",14.924050632911335,0.0005744914654176668,2,0.0836500248711385
"mahatma",14.924050632911335,0.0005744914654176668,2,0.08365002487113847
"стопанство",14.924050632911335,0.0005744914654176668,2,0.042613162015756295
"landwirsdat",14.924050632911335,0.0005744914654176668,2,0.26330788212975403
"bicarbonate",14.924050632911335,0.0005744914654176668,2,0.08365002487113846
"magermilchpul",14.924050632911335,0.0005744914654176668,17,0.0943916223143556
"levage",14.924050632911335,0.0005744914654176668,2,0.09814113572754005
"олио",14.924050632911335,0.0005744914654176668,2,0.08365002487113851
"milchsäure",14.924050632911335,0.0005744914654176668,2,-0.06783598445745742
"macada",14.924050632911335,0.0005744914654176668,23,0.08365002487113851
"molkenerzeugnis",14.924050632911335,0.0005744914654176668,2,0.0665868704299393
"кашу",14.924050632911335,0.0005744914654176668,2,0.2594298176211965
"шорска",14.924050632911335,0.0005744914654176668,2,0.1567773243237034
"autre",14.924050632911335,0.0005744914654176668,38,0.2278143454301069
